epoch,accuracy,loss,val_accuracy,val_loss
0,0.37863272428512573,1.317441701889038,0.42939481139183044,1.266736626625061
1,0.6559645533561707,0.9658645987510681,0.6657060384750366,0.9201575517654419
2,0.8045945167541504,0.5730141401290894,0.7146974205970764,0.7589834928512573
3,0.8502629399299622,0.41490161418914795,0.7118155360221863,0.7933980226516724
4,0.8901190161705017,0.3255208134651184,0.7118155360221863,0.8166982531547546
5,0.9072792530059814,0.2650301158428192,0.7002881765365601,0.8624791502952576
6,0.9319125413894653,0.22134575247764587,0.7118155360221863,0.9408500790596008
7,0.9371713399887085,0.19581973552703857,0.6887608170509338,0.9673712849617004
8,0.9557154774665833,0.1593688428401947,0.6974063515663147,1.0229384899139404
9,0.9595903754234314,0.14155066013336182,0.6772334575653076,1.0921807289123535
10,0.9645723700523376,0.12690319120883942,0.6685879230499268,1.1518391370773315
11,0.9637420177459717,0.11505042761564255,0.6743515729904175,1.185159683227539
12,0.9659562706947327,0.10294073075056076,0.6772334575653076,1.2492119073867798
13,0.9684472680091858,0.10169834643602371,0.6685879230499268,1.2602943181991577
14,0.9709382653236389,0.09814878553152084,0.6743515729904175,1.3081672191619873
15,0.971491813659668,0.08963391184806824,0.680115282535553,1.3563425540924072
16,0.9717686176300049,0.09047090262174606,0.6772334575653076,1.345388412475586
17,0.9723221659660339,0.0800316333770752,0.6714697480201721,1.4050393104553223
18,0.9725989699363708,0.08350834995508194,0.6657060384750366,1.402738094329834
19,0.9761970639228821,0.0740150734782219,0.6743515729904175,1.4457744359970093
20,0.9745364189147949,0.07530611008405685,0.6685879230499268,1.460310459136963
21,0.9759202599525452,0.07426387071609497,0.6714697480201721,1.513631820678711
22,0.9773041605949402,0.07052809745073318,0.6743515729904175,1.5682905912399292
23,0.9789648652076721,0.06374377757310867,0.6570605039596558,1.5536869764328003
24,0.976473867893219,0.06633310765028,0.6657060384750366,1.5722379684448242
